dataset,root,data_split,facial_video,EEG,ECG,EDA,EOG,EMG,GSR,BVP,respiration,skin_temp,heart_rate,IBI,MEG,anno_type,self_annotation,external_annotation,partner_annotation,frame_size,fps,duration,EEG_vec_counts,EEG_ch,bool_both_file,participant_id,sample_id,fold
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/9.mp4,./datasets/MDMER/MDMER_physio/EEG/2_9_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_9_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_9_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 2, 2]",False,False,640/480,30,23.0,6900,18,True,2,41,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/10.mp4,./datasets/MDMER/MDMER_physio/EEG/2_10_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_10_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_10_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[9, 1, 1]",False,False,640/480,30,30.0,9000,18,True,2,42,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/11.mp4,./datasets/MDMER/MDMER_physio/EEG/2_11_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_11_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_11_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 3, 4]",False,False,640/480,30,31.0,9300,18,True,2,43,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/12.mp4,./datasets/MDMER/MDMER_physio/EEG/2_12_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_12_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_12_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 4, 4]",False,False,640/480,30,24.0,7200,18,True,2,44,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/14.mp4,./datasets/MDMER/MDMER_physio/EEG/2_14_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_14_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_14_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[8, 2, 3]",False,False,640/480,30,29.0,8700,18,True,2,45,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/15.mp4,./datasets/MDMER/MDMER_physio/EEG/2_15_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_15_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_15_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 3, 3]",False,False,640/480,30,27.0,8100,18,True,2,46,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/16.mp4,./datasets/MDMER/MDMER_physio/EEG/2_16_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_16_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_16_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[3, 5, 7]",False,False,640/480,30,29.0,8700,18,True,2,47,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/17.mp4,./datasets/MDMER/MDMER_physio/EEG/2_17_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_17_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_17_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 6, 6]",False,False,640/480,30,29.0,8700,18,True,2,48,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/18.mp4,./datasets/MDMER/MDMER_physio/EEG/2_18_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_18_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_18_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 4, 5]",False,False,640/480,30,28.0,8400,18,True,2,49,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/19.mp4,./datasets/MDMER/MDMER_physio/EEG/2_19_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_19_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_19_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 3, 3]",False,False,640/480,30,30.0,9000,18,True,2,50,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/20.mp4,./datasets/MDMER/MDMER_physio/EEG/2_20_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_20_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_20_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 3, 2]",False,False,640/480,30,32.0,9600,18,True,2,51,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/21.mp4,./datasets/MDMER/MDMER_physio/EEG/2_21_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_21_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_21_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[8, 2, 2]",False,False,640/480,30,26.0,7800,18,True,2,52,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/22.mp4,./datasets/MDMER/MDMER_physio/EEG/2_22_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_22_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_22_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 4, 5]",False,False,640/480,30,32.0,9600,18,True,2,53,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/23.mp4,./datasets/MDMER/MDMER_physio/EEG/2_23_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_23_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_23_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 5, 6]",False,False,640/480,30,24.0,7200,18,True,2,54,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/24.mp4,./datasets/MDMER/MDMER_physio/EEG/2_24_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_24_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_24_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 4, 4]",False,False,640/480,30,26.0,7800,18,True,2,55,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/25.mp4,./datasets/MDMER/MDMER_physio/EEG/2_25_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_25_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_25_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 4, 5]",False,False,640/480,30,23.0,6900,18,True,2,56,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/26.mp4,./datasets/MDMER/MDMER_physio/EEG/2_26_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_26_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_26_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 5, 5]",False,False,640/480,30,30.0,9000,18,True,2,57,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/27.mp4,./datasets/MDMER/MDMER_physio/EEG/2_27_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_27_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_27_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 4, 5]",False,False,640/480,30,24.0,7200,18,True,2,58,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/28.mp4,./datasets/MDMER/MDMER_physio/EEG/2_28_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_28_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_28_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 6, 5]",False,False,640/480,30,24.0,7200,18,True,2,59,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/30.mp4,./datasets/MDMER/MDMER_physio/EEG/2_30_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_30_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_30_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 5, 5]",False,False,640/480,30,21.0,6300,18,True,2,60,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/31.mp4,./datasets/MDMER/MDMER_physio/EEG/2_31_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_31_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_31_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 4, 4]",False,False,640/480,30,29.0,8700,18,True,2,61,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/5/0.mp4,./datasets/MDMER/MDMER_physio/EEG/5_0_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/5_0_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/5_0_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 7, 9]",False,False,640/480,30,21.0,6300,18,True,5,62,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/5/1.mp4,./datasets/MDMER/MDMER_physio/EEG/5_1_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/5_1_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/5_1_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 4, 7]",False,False,640/480,30,30.0,9000,18,True,5,63,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/5/2.mp4,./datasets/MDMER/MDMER_physio/EEG/5_2_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/5_2_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/5_2_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 4, 6]",False,False,640/480,30,30.0,9000,18,True,5,64,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/5/3.mp4,./datasets/MDMER/MDMER_physio/EEG/5_3_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/5_3_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/5_3_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 7, 9]",False,False,640/480,30,30.0,9000,18,True,5,65,4
